player,n_headers,goals_scored,expected_goals,difference
carlos castro,2,2.0,0.14739650248720929,-1.8526034975127907
toifilou maoulida,12,3.0,1.1573564815684785,-1.8426435184315217
sergio ramos,92,13.0,11.189620211819097,-1.810379788180912
brandao,70,9.0,7.193796739664074,-1.806203260335932
antonio di natale,37,6.0,4.194284163648258,-1.8057158363517443
ivan santini,20,4.0,2.2077032886549386,-1.7922967113450616
ivan rakitic,26,5.0,3.21990339380338,-1.7800966061966206
roberto soldado,50,7.0,5.2232364595906144,-1.7767635404093847
stefan scepovic,7,3.0,1.223261685446617,-1.776738314553383
sofiane feghouli,22,4.0,2.2344787017254526,-1.765521298274548
jussie,10,3.0,1.2349930951344212,-1.765006904865579
eduardo salvio,4,2.0,0.23939044473253562,-1.7606095552674645
khouma babacar,15,4.0,2.2409336802846465,-1.7590663197153535
mexer,12,3.0,1.2464711520210738,-1.7535288479789262
sergi darder,3,2.0,0.25139782952218714,-1.7486021704778127
anthony ujah,33,5.0,3.2578924440255,-1.7421075559744994
thibaut vion,3,2.0,0.25889617506021234,-1.7411038249397877
mikel arruabarrena,9,3.0,1.2679654798513393,-1.7320345201486607
martin skrtel,26,5.0,3.2683062240564125,-1.7316937759435882
chico,16,4.0,2.2769741364540534,-1.7230258635459466
nicolo cherubin,8,3.0,1.2795343636296412,-1.720465636370359
giovanni simeone,11,3.0,1.2929495908910176,-1.7070504091089826
saul niguez,41,7.0,5.314458693544274,-1.6855413064557276
richmond boakye,12,3.0,1.3166675443964884,-1.6833324556035116
manucho,78,10.0,8.32591276447717,-1.6740872355228367
stoppila sunzu,18,4.0,2.3355035844243135,-1.664496415575687
jeda,11,3.0,1.3420755831734206,-1.6579244168265794
rolando bianchi,47,6.0,4.343193245794429,-1.656806754205571
glenn murray,22,5.0,3.346089047038631,-1.6539109529613705
leonardo ulloa,41,7.0,5.348033971589923,-1.6519660284100788
stefano mauri,22,5.0,3.3480927192934264,-1.6519072807065749
eden hazard,11,3.0,1.3613948612665285,-1.6386051387334715
mark uth,4,2.0,0.3639725360519395,-1.6360274639480605
nicolas hofler,4,2.0,0.3703958476332154,-1.6296041523667846
patrick herrmann,9,3.0,1.3726746937503307,-1.6273253062496693
pierre leesmelou,4,2.0,0.3752474678354416,-1.6247525321645584
cedric cambon,16,5.0,3.379203271909377,-1.6207967280906228
francesco valiani,2,2.0,0.3879252037444031,-1.6120747962555968
uros djurdjevic,2,2.0,0.3879252037444031,-1.6120747962555968
maxwell,2,2.0,0.3879252037444031,-1.6120747962555968
javi guerra,46,7.0,5.39369176840609,-1.6063082315939095
fabian orellana,11,3.0,1.398760088624973,-1.6012399113750273
diego laxalt,13,3.0,1.402055240258623,-1.5979447597413765
carlos henrique,19,4.0,2.4064467868061445,-1.5935532131938552
mauro icardi,96,12.0,10.418128439739645,-1.5818715602603546
alexis,27,5.0,3.4242543701476142,-1.5757456298523842
benik afobe,7,3.0,1.429497481036505,-1.5705025189634951
abdoulaye doucoure,20,3.0,1.4330389041786529,-1.5669610958213471
younes belhanda,6,2.0,0.436463537884723,-1.5635364621152772
sabin,17,3.0,1.4514622102459702,-1.548537789754029
alvaro,15,3.0,1.4520010634873446,-1.5479989365126556
roversio,4,2.0,0.452911288851166,-1.547088711148834
deyverson,33,5.0,3.4569692512690753,-1.5430307487309256
alexandre lacazette,41,7.0,5.457005163539643,-1.5429948364603594
alberto bueno,21,4.0,2.462890928766597,-1.5371090712334037
yoann gourcuff,5,2.0,0.4678444375479794,-1.5321555624520207
wayne rooney,31,5.0,3.4708488404432343,-1.5291511595567675
ander,8,2.0,0.48172079544446644,-1.5182792045555336
emre can,14,3.0,1.4903958080272932,-1.5096041919727072
erik lamela,24,4.0,2.490618506967443,-1.5093814930325582
josip drmic,17,3.0,1.4924500824127667,-1.5075499175872331
daniel van buyten,17,3.0,1.4955500798182824,-1.5044499201817176
lars stindl,25,4.0,2.4982927446274874,-1.5017072553725126
jeremie aliadiere,20,4.0,2.49966103505627,-1.5003389649437309
mario gotze,8,2.0,0.5041918156208207,-1.4958081843791793
sandro ramirez,6,2.0,0.5166288326092728,-1.4833711673907273
danilo dambrosio,15,3.0,1.5188753912360493,-1.4811246087639507
juan,5,2.0,0.519696941535617,-1.480303058464383
didier drogba,5,2.0,0.5297333407030611,-1.470266659296939
clement grenier,4,2.0,0.5353217062316123,-1.4646782937683878
jonathan de guzman,8,2.0,0.5357417062994438,-1.4642582937005562
kevin mayi,6,2.0,0.5445826490422447,-1.4554173509577553
scott dann,58,8.0,6.549829430249398,-1.450170569750603
mattia caldara,4,2.0,0.5513411884081959,-1.4486588115918042
filip djordjevic,39,6.0,4.551388184200537,-1.4486118157994654
sven schipplock,17,3.0,1.5537883020426992,-1.4462116979573008
lucas vazquez,5,2.0,0.5581137353817135,-1.4418862646182864
mohamed sissoko,6,2.0,0.5639006234695139,-1.4360993765304861
matthew phillips,4,2.0,0.5656247820229856,-1.4343752179770144
juan mata,4,2.0,0.5659482434069664,-1.4340517565930337
yunus malli,7,2.0,0.568680907142542,-1.431319092857458
ricardo costa,42,7.0,5.574199020517993,-1.4258009794820077
juan manuel falcon,5,2.0,0.5792067805676567,-1.4207932194323434
mario pasalic,20,5.0,3.5820290190058275,-1.4179709809941736
makoto hasebe,4,2.0,0.5855375517610311,-1.414462448238969
luca antonelli,15,3.0,1.58872750980079,-1.41127249019921
gojko kacar,13,3.0,1.5893088159102315,-1.4106911840897687
pape diop,15,3.0,1.5937460651301978,-1.4062539348698022
emiliano sala,43,6.0,4.595512536682612,-1.4044874633173916
fernando torres,35,5.0,3.6012075170863893,-1.3987924829136127
ryan babel,7,2.0,0.603365770699609,-1.396634229300391
simon rolfes,15,3.0,1.6126256211570804,-1.3873743788429198
franco vazquez,23,4.0,2.6147280015932726,-1.3852719984067277
cacau,14,4.0,2.6153178394071874,-1.3846821605928135
christopher jullien,14,3.0,1.6177012765453573,-1.3822987234546427
manolo gabbiadini,22,3.0,1.6200269172820088,-1.3799730827179912
nathan dyer,6,2.0,0.6203537891968711,-1.3796462108031289
samuel etoo,6,2.0,0.6221989103216778,-1.3778010896783222
alexy bosetti,6,2.0,0.6296270249400264,-1.3703729750599736
diego reyes,6,2.0,0.63119661410862,-1.36880338589138
jamaal lascelles,4,2.0,0.6312301364844373,-1.3687698635155627
jeansylvain babin,6,2.0,0.6394980175306801,-1.3605019824693199
iago falque,8,2.0,0.6398018554782559,-1.3601981445217444
santi mina,16,4.0,2.651537468911965,-1.3484625310880354
cristian herrera,7,2.0,0.6630465371622397,-1.3369534628377604
peter crouch,62,8.0,6.667264239250401,-1.3327357607496069
nathan ake,3,2.0,0.6707052244913653,-1.3292947755086348
gael kakuta,6,2.0,0.6725779284735187,-1.3274220715264813
dimitri payet,11,3.0,1.6727104211703774,-1.3272895788296224
fallou diagne,18,4.0,2.6746870935605287,-1.3253129064394715
ibrahima,5,2.0,0.676688968359686,-1.3233110316403143
fabrizio miccoli,9,2.0,0.693587336983815,-1.3064126630161852
dani schahin,17,3.0,1.6970939980691921,-1.3029060019308079
kevin gameiro,29,5.0,3.704189885007513,-1.295810114992488
daniel parejo,8,2.0,0.7056299897443904,-1.2943700102556097
daniel ciofani,21,3.0,1.7123478303114368,-1.2876521696885634
toche,7,2.0,0.7130396279489425,-1.2869603720510576
yoan gouffran,29,5.0,3.7157594633917745,-1.284240536608227
shane long,60,9.0,7.71902486824352,-1.2809751317564884
vedad ibisevic,89,11.0,9.721415646715204,-1.2785843532847958
rafinha,6,2.0,0.7285078744700584,-1.2714921255299416
mike hanke,25,4.0,2.72909097483645,-1.2709090251635504
domenico berardi,10,2.0,0.7358127962684756,-1.2641872037315245
giancarlo gonzalez,14,3.0,1.7402503382819132,-1.2597496617180868
callum wilson,10,2.0,0.7420484209728041,-1.257951579027196
brown ideye,8,3.0,1.7424105813241257,-1.2575894186758743
anthony le tallec,23,4.0,2.7430707938770924,-1.2569292061229085
inigo martinez,63,8.0,6.750505581270126,-1.249494418729876
ariel,3,2.0,0.7556181194183983,-1.2443818805816016
alessandro florenzi,18,4.0,2.75649005275854,-1.2435099472414604
diego milito,14,4.0,2.759010520745221,-1.240989479254779
mateo musacchio,20,4.0,2.7702584425597987,-1.2297415574402015
jose callejon,26,4.0,2.7840836635812707,-1.21591633641873
helder postiga,60,9.0,7.7848807491576055,-1.2151192508423994
timo werner,28,5.0,3.7854641595318492,-1.2145358404681517
mapou yangambiwa,14,3.0,1.7889743154077833,-1.211025684592217
gaetan courtet,35,4.0,2.7918865061464997,-1.208113493853502
hakan calhanoglu,5,2.0,0.793955509472639,-1.2060444905273608
daniel wass,22,4.0,2.7999692918445684,-1.200030708155432
joe allen,7,2.0,0.8065661915744713,-1.1934338084255285
nolito,19,3.0,1.806650900639001,-1.193349099360999
sejad salihovic,10,2.0,0.810723217500011,-1.189276782499989
michele pazienza,6,2.0,0.8118443356661825,-1.1881556643338176
walter samuel,26,4.0,2.8151820393334286,-1.1848179606665714
lars bender,17,3.0,1.8152030599453024,-1.1847969400546976
alfred finnbogason,13,3.0,1.8218256939864965,-1.1781743060135035
fabio coentrao,5,2.0,0.8224038357004746,-1.1775961642995254
frank lampard,7,2.0,0.8234032808035607,-1.1765967191964393
david zurutuza,20,3.0,1.8234542148609454,-1.1765457851390546
marquinho,9,2.0,0.8274839583417593,-1.1725160416582407
giacomo bonaventura,30,4.0,2.827909806650754,-1.1720901933492471
bernardo silva,11,2.0,0.8308099234144692,-1.1691900765855308
michy batshuayi,26,4.0,2.832849634651842,-1.1671503653481592
sergej milinkovicsavic,17,3.0,1.836284819097006,-1.1637151809029938
dominique heintz,8,2.0,0.83827388305846,-1.16172611694154
shkodran mustafi,38,6.0,4.842745786005543,-1.1572542139944564
gareth mcauley,28,6.0,4.844216189177307,-1.1557838108226934
sergio almiron,10,2.0,0.8503867764242417,-1.1496132235757583
floro flores,6,2.0,0.8516328339161242,-1.148367166083876
thiago ribeiro,11,2.0,0.8527940964576137,-1.1472059035423863
wahbi khazri,6,2.0,0.8528517494019157,-1.1471482505980843
pedro rios,8,2.0,0.8543381908242572,-1.145661809175743
libor kozak,12,3.0,1.8627595662349086,-1.1372404337650912
sebastian polter,17,3.0,1.8725424094984946,-1.1274575905015056
chris brunt,7,2.0,0.8777780012620029,-1.122221998737997
aly cissokho,5,2.0,0.8793718429296676,-1.1206281570703325
birkir bjarnason,8,2.0,0.8820325733249245,-1.1179674266750756
cheikh ndoye,56,6.0,4.8860109587195835,-1.1139890412804199
leonardo bittencourt,8,2.0,0.8960730225027245,-1.1039269774972755
francois bellugou,3,2.0,0.9151579671021812,-1.0848420328978188
stefan reinartz,11,2.0,0.9164278398553609,-1.083572160144639
jordan amavi,8,2.0,0.9237961174484921,-1.076203882551508
david garcia,11,2.0,0.9243775834216353,-1.0756224165783648
casadesus,21,3.0,1.9246914979875072,-1.0753085020124926
ayoze perez,10,2.0,0.9307460912713643,-1.0692539087286357
peniel kokou mlapa,5,2.0,0.9324912106176055,-1.0675087893823945
yannick sagbo,23,3.0,1.9347791308480708,-1.065220869151929
stephan lichtsteiner,9,2.0,0.9391425573088392,-1.0608574426911608
anthony mounier,32,4.0,2.9626175944934836,-1.0373824055065153
alejandro rodriguez,8,2.0,0.9632375777442144,-1.0367624222557854
leroy sane,13,2.0,0.9643770248183546,-1.0356229751816455
